City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mahur,25.1667,93.1167,289.02,49,90,0.58,IN,1675823105
84,avarua,-21.2078,-159.775,302.18,79,28,5.14,CK,1675822570
85,saint-georges,12.0564,-61.7485,297.8,83,96,5.95,GD,1675822813
86,carnarvon,-24.8667,113.6333,301.95,52,0,7.04,AU,1675822553
87,mahibadhoo,3.7833,72.9667,300.1,67,66,2.51,MV,1675823110
88,tokur,53.1333,132.9,243.92,93,100,0.51,RU,1675822922
89,hobart,-42.8794,147.3294,290.52,68,75,6.69,AU,1675822378
90,port hardy,50.6996,-127.4199,277.25,93,75,2.57,CA,1675822544
91,kisangani,0.5167,25.2,297.44,59,100,1.5,CD,1675823116
92,arraial do cabo,-22.9661,-42.0278,297.13,91,100,1.96,BR,1675822556
93,hithadhoo,-0.6,73.0833,300.45,72,13,3.58,MV,1675822334
94,talnakh,69.4865,88.3972,248.82,98,100,3.39,RU,1675823121
95,dhidhdhoo,6.8833,73.1,299.86,72,44,3.29,MV,1675822872
96,bredasdorp,-34.5322,20.0403,291.69,79,11,3.16,ZA,1675822395
97,tuatapere,-46.1333,167.6833,286.63,58,67,6.89,NZ,1675822623
98,lima,-12.0432,-77.0282,298.65,76,0,5.66,PE,1675823048
99,waipawa,-41.4122,175.5153,293.24,58,25,2.41,NZ,1675823053
100,irati,-25.4672,-50.6511,291.1,88,13,0.79,BR,1675823128
101,reconquista,-29.15,-59.65,301.03,25,0,3.1,AR,1675823129
102,anadyr,64.75,177.4833,241.48,74,0,6.0,RU,1675823131
103,uige,-7.6087,15.0613,291.86,93,100,1.71,AO,1675823133
104,labytnangi,66.6572,66.4183,258.31,95,100,6.27,RU,1675823135
105,ust-nera,64.5667,143.2,237.09,96,80,0.48,RU,1675822763
106,havre-saint-pierre,50.2334,-63.5986,266.15,79,75,5.66,CA,1675823138
107,batagay-alyta,67.8006,130.4114,236.35,100,98,0.66,RU,1675822785
108,thompson,55.7435,-97.8558,257.24,85,100,2.06,CA,1675823141
109,plettenberg bay,-34.0527,23.3716,292.3,86,100,2.55,ZA,1675823142
110,baghdad,33.3406,44.4009,282.1,61,0,4.12,IQ,1675823143
111,roald,62.5833,6.1333,280.66,57,76,11.32,NO,1675823145
112,georgetown,5.4112,100.3354,301.11,69,20,3.6,MY,1675822434
113,henties bay,-22.116,14.2845,291.29,89,47,2.06,NA,1675822795
114,grand gaube,-20.0064,57.6608,299.37,80,32,2.24,MU,1675822526
115,sibul,15.169,121.0616,301.49,62,100,5.02,PH,1675823149
116,sabang,5.8933,95.3214,300.67,74,100,6.73,ID,1675823150
117,mahebourg,-20.4081,57.7,299.31,83,40,5.14,MU,1675823151
118,rocha,-34.4833,-54.3333,293.3,85,6,3.33,UY,1675822761
119,hervey bay,-25.2986,152.8535,300.08,60,71,8.67,AU,1675823153
120,dalby,-27.1833,151.2667,305.92,30,60,1.34,AU,1675823155
121,tessalit,20.1986,1.0114,294.05,14,68,3.71,ML,1675823156
122,honiara,-9.4333,159.95,302.33,73,100,3.05,SB,1675822576
123,sistranda,63.7256,8.834,276.13,78,100,5.16,NO,1675823158
124,maniitsoq,65.4167,-52.9,255.74,90,100,4.23,GL,1675823159
125,strathmore,51.0501,-113.3852,274.22,69,100,5.14,CA,1675822912
126,bam,29.106,58.357,288.19,51,56,3.3,IR,1675823161
127,provideniya,64.3833,-173.3,253.21,71,100,2.0,RU,1675822507
128,souillac,-20.5167,57.5167,299.36,83,40,5.14,MU,1675823155
129,trinidad,-14.8333,-64.9,296.55,96,100,0.64,BO,1675823165
130,pollachi,10.6667,77.0167,295.73,69,19,2.6,IN,1675823166
131,leticia,-4.2153,-69.9406,299.18,89,40,2.06,CO,1675823168
132,saldanha,-33.0117,17.9442,290.94,89,0,5.9,ZA,1675822415
133,norman wells,65.282,-126.8329,250.17,77,75,0.0,CA,1675822593
134,grimshaw,56.1834,-117.6027,267.94,58,20,3.6,CA,1675823172
135,san cristobal,7.7669,-72.225,294.25,78,12,0.74,VE,1675823173
136,east london,-33.0153,27.9116,294.64,84,100,5.18,ZA,1675822594
137,saint george,37.1041,-113.5841,282.56,43,0,3.09,US,1675822429
138,hasaki,35.7333,140.8333,283.37,68,100,9.42,JP,1675823177
139,hanna,51.6334,-111.9018,269.02,92,100,2.49,CA,1675823178
140,hambantota,6.1241,81.1185,298.27,82,98,6.35,LK,1675822665
141,rio grande,-32.035,-52.0986,296.49,72,0,6.33,BR,1675822573
142,torbay,47.6666,-52.7314,269.48,85,75,10.8,CA,1675823183
143,charagua,-19.8,-63.2167,292.32,96,100,1.11,BO,1675823184
144,mazyr,52.0495,29.2456,261.02,98,66,1.04,BY,1675823186
145,ribeira grande,38.5167,-28.7,286.36,64,9,3.13,PT,1675822484
146,karpogory,64.0019,44.4451,273.39,95,100,4.95,RU,1675822698
147,kutum,14.2,24.6667,285.07,35,20,4.43,SD,1675822647
148,majene,-3.5403,118.9707,303.75,56,47,2.54,ID,1675823191
149,aberdeen,57.1437,-2.0981,277.7,83,52,3.09,GB,1675823192
150,cortes,41.9395,-1.4396,277.18,82,99,6.44,ES,1675823195
151,macamic,48.7502,-78.9996,270.03,88,100,7.79,CA,1675823196
152,haimen,23.1935,116.6142,292.09,77,31,10.18,CN,1675823197
153,saskylakh,71.9167,114.0833,239.24,100,100,0.32,RU,1675822735
